SERIALNO,AGE,WRKLYR,INCTOT
0000318,21,2,0
0000319,30,1,81200
0000319,37,1,89900
0000320,32,1,52258
0000320,38,2,57
0000320,5,0,NA
0000320,3,0,NA
0000321,64,2,63625
0000321,62,2,2088
0000322,72,0,NA
0000323,52,1,28187
0000323,57,1,20880
0000324,63,1,16065
0000325,34,1,84100
0000325,34,0,NA
0000325,4,0,NA
0000325,0,0,NA
0000326,24,1,17400
0000326,4,0,NA
0000326,0,0,NA
0000327,78,0,NA
0000328,61,1,40600
0000328,15,0,NA
0000329,42,1,42340
0000329,48,1,11600
0000330,66,2,21112
0000330,42,2,4059
0000330,10,0,NA
0000330,8,0,NA
0000330,6,0,NA
0000330,5,0,NA
0000331,47,1,57999
0000331,42,2,0
0000331,12,0,NA
0000331,10,0,NA
0000331,9,0,NA
0000332,36,1,39440
0000332,38,1,43500
0000332,5,0,NA
0000332,3,0,NA
0000333,45,1,71920
0000333,40,1,26042
0000333,14,0,NA
0000333,12,0,NA
0000334,33,1,20880
0000334,35,1,57999
0000334,4,0,NA
0000334,1,0,NA
0000335,52,1,46690
0000336,70,2,1450
0000336,66,2,12992
0000337,29,1,28733
0000338,30,1,7278
0000339,20,2,174
0000339,21,1,6959
0000339,20,2,1160
0000340,23,0,NA
0000341,35,1,46690
0000342,58,1,41760
0000342,60,2,0
0000343,28,1,14557
0000343,27,1,32479
0000344,27,0,NA
0000344,27,0,NA
0000344,27,0,NA
0000345,63,1,10440
0000345,65,2,48720
0000345,43,1,29579
0000345,21,1,5800
0000345,18,2,869
0000345,18,2,231
0000345,13,0,NA
0000346,31,1,46400
0000346,31,2,0
0000346,1,0,NA
0000347,61,1,36540
0000348,68,1,33350
0000349,30,1,18560
0000349,28,1,17516
0000349,4,0,NA
0000349,45,2,10440
0000349,45,2,0
0000349,21,1,5800
0000349,19,2,0
0000350,28,1,19140
0000350,25,1,28999
0000351,41,1,15555
0000351,15,0,NA
0000351,13,0,NA
0000351,48,2,10324
0000352,45,2,0
0000352,52,1,107299
0000352,15,0,NA
0000352,13,0,NA
0000352,7,0,NA
0000353,73,2,23200
0000353,69,2,4408
0000354,36,1,37700
0000354,35,2,0
0000354,9,0,NA
0000354,6,0,NA
0000354,3,0,NA
0000355,35,1,35960
0000355,25,2,0
0000355,4,0,NA
0000355,1,0,NA
0000356,39,1,40600
0000356,44,1,6669
0000356,3,0,NA
0000356,1,0,NA
0000357,81,0,NA
0000358,47,1,7307
0000358,16,2,0
0000359,77,0,NA
0000360,61,1,53997
0000360,62,1,51156
0000361,48,1,49532
0000361,50,1,23200
0000362,46,0,NA
0000362,43,1,63219
0000362,15,0,NA
0000363,78,2,29579
0000364,36,1,40600
0000364,35,0,NA
0000365,56,1,30159
0000365,52,2,15021
0000366,56,1,39440
0000367,34,1,754
0000367,40,1,71340
0000367,8,0,NA
0000367,6,0,NA
0000368,51,1,75864
0000368,49,2,0
0000368,13,0,NA
0000369,35,1,36540
0000369,34,0,NA
0000369,4,0,NA
0000369,2,0,NA
0000370,32,1,8119
0000370,37,2,0
0000370,6,0,NA
0000370,4,0,NA
0000371,71,2,6611
0000372,59,1,35148
0000373,42,1,57999
0000373,38,2,0
0000373,14,0,NA
0000373,11,0,NA
0000373,5,0,NA
0000374,60,1,40988
0000374,72,2,29023
0000375,48,1,16181
0000375,14,0,NA
0000376,36,1,57999
0000377,36,1,62639
0000377,8,0,NA
0000377,4,0,NA
0000378,31,1,20300
0000378,29,0,NA
0000378,32,1,30739
0000379,47,2,4930
0000379,28,1,34800
0000379,15,0,NA
0000380,68,2,4408
0000381,29,1,18560
0000381,35,2,6959
0000382,80,0,NA
0000383,28,1,3363
0000383,35,1,57999
0000384,33,1,41760
0000384,34,1,31899
0000385,38,1,34800
0000385,39,1,26100
0000385,11,0,NA
0000385,9,0,NA
0000385,49,1,17400
0000386,32,1,23200
0000386,24,2,1913
0000387,40,1,35977
0000387,41,2,580
0000387,4,0,NA
0000388,76,2,6090
0000389,45,1,49300
0000390,64,1,85260
0000390,68,1,10092
0000391,54,1,34220
0000391,55,1,32479
0000391,25,1,7476
0000391,22,1,2720
0000392,35,1,81234
0000392,9,0,NA
0000393,40,2,0
0000393,44,1,228519
0000393,13,0,NA
0000393,10,0,NA
0000393,7,0,NA
0000393,72,2,2784
0000394,65,1,80504
0000394,68,2,4582
0000394,29,2,0
0000395,35,1,25114
0000395,34,0,NA
0000396,51,1,14499
0000396,50,1,81246
0000396,16,2,0
0000396,13,0,NA
0000397,40,1,92800
0000397,41,2,5800
0000397,21,2,0
0000398,39,1,228519
0000398,29,1,34800
0000398,13,0,NA
0000398,7,0,NA
0000399,43,1,33060
0000399,43,1,37700
0000399,5,0,NA
0000399,5,0,NA
0000400,83,2,20358
0000401,54,1,34800
0000401,35,2,0
0000401,53,2,4814
0000401,13,0,NA
0000401,50,2,0
0000402,44,1,31899
0000402,45,0,NA
0000402,11,0,NA
0000402,9,0,NA
0000403,57,1,16239
0000404,43,1,41760
0000404,35,0,NA
0000404,17,0,NA
0000404,12,0,NA
0000404,6,0,NA
0000404,45,0,NA
0000404,62,0,NA
0000404,31,0,NA
0000404,13,0,NA
0000404,11,0,NA
0000404,2,0,NA
0000405,27,0,NA
0000406,41,2,1160
0000406,42,1,28129
0000406,13,0,NA
0000406,11,0,NA
0000407,32,1,3595
0000407,1,0,NA
0000407,27,2,4176
0000407,10,0,NA
0000407,7,0,NA
0000408,85,2,6959
0000408,85,2,5800
0000409,72,2,14772
0000410,47,2,0
0000411,85,0,NA
0000412,60,2,23838
0000413,49,1,32479
0000413,48,1,67570
0000413,19,1,8874
0000413,14,0,NA
0000414,49,1,14673
0000414,43,2,0
0000414,64,2,6438
0000414,38,1,23432
0000415,51,1,19372
0000415,61,1,46400
0000415,13,0,NA
0000415,11,0,NA
0000416,73,2,34394
0000417,22,1,3479
0000417,2,0,NA
0000418,79,2,12412
0000418,51,1,26100
0000418,50,2,0
0000419,46,1,52200
0000419,49,0,NA
0000420,19,2,0
0000421,65,1,38111
0000421,64,1,30159
0000421,94,2,8700
0000422,35,1,19488
0000422,26,2,0
0000422,8,0,NA
0000422,2,0,NA
0000422,0,0,NA
0000422,9,0,NA
0000423,35,1,11600
0000423,8,0,NA
0000423,22,1,13339
0000424,82,2,29463
0000424,66,2,12934
0000425,89,2,30855
0000425,89,2,22098
0000426,68,2,6264
0000427,74,2,7539
0000428,68,2,15543
0000429,70,1,21460
0000429,66,1,26044
0000430,61,2,12760
0000431,52,1,45414
0000431,56,1,27868
0000432,48,1,23200
0000432,49,1,66700
0000432,13,0,NA
0000433,79,2,25926
