Geo,RetEmp,SvcEmp,TotEmp,Year
530330224012,1,13,207.0,2018
530330224013,101,47,547.0,2018
530330224021,153,75,2025.0,2018
530330224022,36,30,232.0,2018
530330224023,42,58,1299.0,2018
530330225011,61,85,744.0,2018
530330225012,0,0,0.0,2018
530330225013,125,185,1181.0,2018
530330225021,30,80,1298.0,2018
530330225022,171,263,3647.0,2018
530330225023,39,73,2245.0,2018
530330226031,18,18,678.0,2018
530330226032,0,0,0.0,2018
530330226033,6,94,285.0,2018
530330226034,14,20,339.0,2018
530330226041,292,45,808.0,2018
530330226042,589,71,1643.0,2018
530330226043,4,53,143.0,2018
530330226051,8,6,436.0,2018
530330226052,111,86,1337.0,2018
530330226053,29,191,4622.0,2018
530330226061,8,15,213.0,2018
530330226062,0,0,0.0,2018
530330226063,18,142,724.0,2018
530330226064,0,0,0.0,2018
530330227011,6,19,231.0,2018
530330227012,43,568,6684.0,2018
530330227021,124,19,495.0,2018
530330227022,2,10,344.0,2018
530330227023,5,14,155.0,2018
530330227031,32,70,1223.0,2018
530330227032,3,6,58.0,2018
530330228021,0,0,0.0,2018
530330228022,33,94,2950.0,2018
530330228023,0,0,0.0,2018
530330228024,0,0,0.0,2018
530330228031,428,132,28505.0,2018
530330228032,306,162,14677.0,2018
530330228033,19,68,10290.0,2018
530330228034,11,31,282.0,2018
530330228041,1,28,184.0,2018
530330228042,0,0,0.0,2018
530330228043,9,81,1273.0,2018
530330228051,0,243,311.0,2018
530330228052,13,5,1554.0,2018
530330228053,1,474,622.0,2018
530330229011,17,15,276.0,2018
530330229012,43,7,202.0,2018
530330229021,9,27,137.0,2018
530330229022,4,31,218.0,2018
530330229023,7,34,272.0,2018
530330229024,2,11,130.0,2018
530330230001,0,0,0.0,2018
530330230002,0,0,0.0,2018
530330230003,187,53,1646.0,2018
530330230004,1,51,192.0,2018
530330231001,0,0,12.0,2018
530330231002,0,0,28.0,2018
530330231003,0,0,0.0,2018
530330232011,29,6,297.0,2018
530330232012,0,10,76.0,2018
530330232013,1,1,115.0,2018
530330232014,8,10,646.0,2018
530330232021,267,235,1105.0,2018
530330232022,23,11,434.0,2018
530330232023,104,89,496.0,2018
530330233001,4,43,425.0,2018
530330233002,11,71,151.0,2018
530330233003,109,34,498.0,2018
530330233004,0,0,0.0,2018
530330234011,6,8,380.0,2018
530330234012,424,531,8240.0,2018
530330234013,313,27,3040.0,2018
530330234031,11,65,465.0,2018
530330234032,14,121,6463.0,2018
530330234033,2,23,111.0,2018
530330234041,0,0,0.0,2018
530330234042,0,0,5.0,2018
530330235001,5,10,102.0,2018
530330235002,4,1,180.0,2018
530330235003,1,14,84.0,2018
530330236011,49,117,1799.0,2018
530330236012,1417,294,6916.0,2018
530330236013,0,149,167.0,2018
530330236031,38,0,286.0,2018
530330236032,10,4,55.0,2018
530330236033,11,39,1218.0,2018
530330236034,1,1,960.0,2018
530330236035,0,0,241.0,2018
530330236041,6,4,276.0,2018
530330236042,68,14,303.0,2018
530330236043,1,54,162.0,2018
530330236044,1,0,40.0,2018
530330237011,137,62,2113.0,2018
530330237012,45,53,2097.0,2018
530330237013,216,84,689.0,2018
530330237021,968,406,9916.0,2018
530330237022,3446,1268,11524.0,2018
530330238011,576,264,2148.0,2018
530330238012,102,1265,4551.0,2018
530330238051,81,366,1921.0,2018
530330238052,121,498,2593.0,2018
530330238061,5,138,1042.0,2018
530330238062,4,92,1426.0,2018
530330238063,5,110,1248.0,2018
530330238071,2233,1079,13171.0,2018
530330238072,1244,150,3271.0,2018
530330238073,308,383,9346.0,2018
530330238081,93,88,3192.0,2018
530330238082,172,156,5060.0,2018
530330238083,108,211,4528.0,2018
